time,gFx,gFy,gFz,gFTotal
2018-10-02 15:47:08.0170,0.052,0.088,-0.34,0.355
2018-10-02 15:47:08.0420,0.088,0.1,-0.352,0.376
2018-10-02 15:47:08.0420,0.088,0.1,-0.352,0.376
2018-10-02 15:47:08.0470,0.164,0.127,-1.054,1.074
2018-10-02 15:47:08.0570,0.387,0.219,-2.268,2.311
2018-10-02 15:47:08.0670,0.501,0.201,-1.401,1.501
2018-10-02 15:47:08.0930,-0.299,-0.309,-0.307,0.528
2018-10-02 15:47:08.0930,-0.299,-0.309,-0.307,0.528
2018-10-02 15:47:08.0970,-0.479,-0.145,-0.868,1.002
2018-10-02 15:47:08.1070,0.062,0.084,-1.133,1.138
2018-10-02 15:47:08.1170,0.189,0.062,-1.075,1.093
2018-10-02 15:47:08.1430,0.187,0.02,-1.027,1.044
2018-10-02 15:47:08.1430,0.187,0.02,-1.027,1.044
2018-10-02 15:47:08.1470,-0.095,-0.011,-1.154,1.158
2018-10-02 15:47:08.1570,-0.247,0.074,-1.03,1.062
2018-10-02 15:47:08.1670,-0.02,0.037,-0.985,0.986
2018-10-02 15:47:08.1920,0.077,0.047,-1.065,1.069
2018-10-02 15:47:08.1920,0.077,0.047,-1.065,1.069
2018-10-02 15:47:08.1970,-0.001,0.033,-0.981,0.982
2018-10-02 15:47:08.2070,-0.057,0.018,-0.981,0.983
2018-10-02 15:47:08.2170,-0.039,0.014,-0.998,0.999
2018-10-02 15:47:08.2410,0.037,0.009,-0.969,0.97
2018-10-02 15:47:08.2420,0.037,0.009,-0.969,0.97
2018-10-02 15:47:08.2470,0.019,0.012,-0.979,0.979
2018-10-02 15:47:08.2570,-0.011,0.015,-0.992,0.992
2018-10-02 15:47:08.2670,-0.02,0.023,-1.001,1.001
2018-10-02 15:47:08.2920,0.007,0.032,-1.023,1.024
2018-10-02 15:47:08.2930,0.007,0.032,-1.023,1.024
2018-10-02 15:47:08.2960,0.0,0.034,-1.026,1.027
2018-10-02 15:47:08.3060,-0.01,0.035,-1.027,1.028
2018-10-02 15:47:08.3160,-0.009,0.032,-1.022,1.023
2018-10-02 15:47:08.3430,0.002,0.028,-1.009,1.009
2018-10-02 15:47:08.3430,0.002,0.028,-1.009,1.009
2018-10-02 15:47:08.3460,-0.001,0.024,-1.003,1.003
2018-10-02 15:47:08.3560,-0.003,0.021,-0.997,0.997
2018-10-02 15:47:08.3660,-0.001,0.02,-0.996,0.996
2018-10-02 15:47:08.3920,0.0,0.021,-0.999,0.999
2018-10-02 15:47:08.3930,0.0,0.021,-0.999,0.999
2018-10-02 15:47:08.3960,-0.002,0.024,-1.005,1.005
2018-10-02 15:47:08.4060,-0.003,0.025,-1.009,1.009
2018-10-02 15:47:08.4160,-0.003,0.027,-1.012,1.012
2018-10-02 15:47:08.4420,-0.003,0.029,-1.015,1.015
2018-10-02 15:47:08.4420,-0.003,0.029,-1.015,1.015
2018-10-02 15:47:08.4460,-0.003,0.029,-1.015,1.015
2018-10-02 15:47:08.4560,-0.002,0.027,-1.01,1.01
2018-10-02 15:47:08.4660,-0.001,0.026,-1.008,1.008
2018-10-02 15:47:08.4920,-0.002,0.024,-1.003,1.003
2018-10-02 15:47:08.4920,-0.002,0.024,-1.003,1.003
2018-10-02 15:47:08.4960,-0.001,0.023,-1.003,1.003
2018-10-02 15:47:08.5060,-0.001,0.024,-1.005,1.005
2018-10-02 15:47:08.5160,-0.001,0.025,-1.006,1.006
2018-10-02 15:47:08.5410,-0.002,0.026,-1.01,1.01
2018-10-02 15:47:08.5420,-0.002,0.026,-1.01,1.01
2018-10-02 15:47:08.5460,-0.002,0.027,-1.012,1.012
2018-10-02 15:47:08.5550,-0.003,0.027,-1.01,1.01
2018-10-02 15:47:08.5650,-0.003,0.026,-1.011,1.011
2018-10-02 15:47:08.5910,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.5920,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.5950,-0.001,0.025,-1.006,1.006
2018-10-02 15:47:08.6050,-0.002,0.025,-1.006,1.006
2018-10-02 15:47:08.6150,-0.002,0.025,-1.007,1.007
2018-10-02 15:47:08.6420,-0.003,0.026,-1.007,1.007
2018-10-02 15:47:08.6420,-0.003,0.026,-1.007,1.007
2018-10-02 15:47:08.6450,-0.002,0.025,-1.009,1.009
2018-10-02 15:47:08.6550,-0.003,0.026,-1.008,1.008
2018-10-02 15:47:08.6650,-0.002,0.026,-1.009,1.009
2018-10-02 15:47:08.6910,-0.002,0.027,-1.009,1.009
2018-10-02 15:47:08.6920,-0.002,0.027,-1.009,1.009
2018-10-02 15:47:08.6950,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.7050,-0.002,0.027,-1.007,1.007
2018-10-02 15:47:08.7150,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:08.7410,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:08.7420,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:08.7450,-0.002,0.027,-1.007,1.007
2018-10-02 15:47:08.7550,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.7650,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.7910,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.7920,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.7950,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.8040,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.8140,-0.002,0.026,-1.009,1.009
2018-10-02 15:47:08.8410,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:08.8420,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:08.8450,-0.002,0.026,-1.006,1.006
2018-10-02 15:47:08.8540,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.8640,-0.003,0.027,-1.007,1.007
2018-10-02 15:47:08.8910,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.8920,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.8950,-0.003,0.026,-1.008,1.008
2018-10-02 15:47:08.9040,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.9140,-0.002,0.027,-1.008,1.008
2018-10-02 15:47:08.9410,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:08.9420,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:08.9440,-0.002,0.026,-1.007,1.007
2018-10-02 15:47:08.9540,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.9640,-0.003,0.026,-1.008,1.008
2018-10-02 15:47:08.9890,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.9900,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.9940,-0.002,0.027,-1.009,1.009
